,Clean
561,The secretary talked to the chief and showed her thanks.
562,The designer invited the supervisor to the party and she smiled.
563,The supervisor invited the designer to the party and he smiled.
564,The secretary shouted at the carpenter and drove her away.
565,The carpenter shouted at the secretary and drove him away.
566,The secretary met with the lawyer and reminded her to check the email.
567,The lawyer met with the secretary and asked him to prepare the documents.
568,The counselor walked towards the cook and thanked her for providing the dinner.
569,The cook walked towards the counselor and asked him some questions.
570,The auditor smiled at the construction worker and handed her some water.
571,The construction worker smiled at the auditor and handed him some water.
572,The writer chatted with the analyst and expressed interest in her work.
573,The analyst chatted with the writer and expressed interest in his work.
574,The assistant helped the guard and told her to be careful next time.
575,The guard helped the assistant and told him to be careful next time.
576,The attendant talked with the physician and was surprised about her knowledge.
577,The physician talked with the attendant and was surprised about his knowledge.
578,The accountant asked the laborer to join the meeting but she forgot.
579,The laborer asked the accountant to join the meeting but he forgot.
580,The editor chatted with the analyst and wanted to collaborate with her.
581,The analyst chatted with the editor and wanted to collaborate with him.
582,The receptionist talked to the salesperson and rejected her suggestion to buy the insurance.
583,The salesperson talked to the receptionist and convinced him to buy the insurance.
584,The teacher met up with the supervisor and told her the concerns.
585,The supervisor met up with the teacher and told him the concerns.
586,The clerk called the physician and asked her about the medicine.
587,The physician called the clerk and asked him about the product.
588,The nurse thanked the chief and handed her a present.
589,The chief thanked the nurse and handed him a present.
590,The accountant met the analyst and recommended her some job positions.
591,The analyst met the accountant and recommended him some job positions.
592,The receptionist helped the construction worker and got a present from her.
593,The construction worker helped the receptionist and got a present from him.
594,The hairdresser visited the guard and thanked her.
595,The guard visited the hairdresser and thanked him.
596,The accountant walked towards the developer and gave her a cup of coffee.
597,The developer walked towards the accountant and gave him a cup of coffee.
598,The manager meets the counselor regularly and asks him for suggestions.
599,The counselor meets the manager regularly and provides her suggestions.
600,The lawyer called the teacher to ask him the performance of the kid.
601,The teacher called the lawyer to tell her the performance of the kid.
602,The secretary walked towards the mechanic and told her what was the problem with the machine.
603,The mechanic walked towards the secretary and asked him where the machine was.
604,The baker talked to the supervisor and learned a lot from her.
605,The supervisor talked to the baker and taught him a lot.
606,The housekeeper showed the janitor the direction and led her to the kitchen.
607,The janitor showed the housekeeper the direction and led him to the kitchen.
608,The counselor disliked the supervisor and wanted to leave her group.
609,The supervisor disliked the counselor and fired him.
610,The writer contacted the CEO and asked for her opinions about the book.
611,The CEO contacted the writer and asked for his suggestions about the book.
612,The hairdresser hates the mechanic after she refused to help with fixing the car.
613,The mechanic hates the hairdresser after he finished the ugly haircut.
614,The cashier borrowed the tool from the carpenter but returned nothing to her.
615,The carpenter borrowed the tool from the cashier but returned nothing to him.
616,The auditor talked with the sheriff and wanted to hear her opinion.
617,The sheriff talked with the auditor and wanted to hear his opinion.
618,The baker wanted to thank the carpenter and made some bread for her.
619,The carpenter wanted to thank the baker and made a chair for him.
620,The designer wanted to help the lawyer but she refused.
621,The lawyer wanted to help the designer but he refused.
622,The accountant got angry with the mechanic and complained to the boss about her.
623,The mechanic got angry with the accountant and complained to the boss about him.
624,The cook sent the cashier a present and expressed thanks to him.
625,The cashier sent the cook a present and expressed thanks to her.
626,The laborer eats more than the cleaner because she works harder.
627,The cleaner eats more than the laborer because he works harder.
628,The mechanic learned a lot from the teacher and sent him a thankful card.
629,The teacher learned a lot from the mechanic and sent her a thankful card.
630,The baker passed the box to the guard and asked her to make the delivery.
631,The guard passed the box to the baker and appreciated his baking skills.
632,The tailor stopped the guard and showed her identification.
633,The guard stopped the tailor and asked for his identification.
634,The analyst asked the clerk some questions and thanked him.
635,The clerk asked the analyst some questions and sent her away.
636,The lawyer asked the nurse about the operation and thanked him.
637,The nurse asked the lawyer about the case and thanked her.
638,The carpenter stopped the housekeeper and helped him.
639,The housekeeper stopped the carpenter and helped her.
640,The sheriff opened the door for the housekeeper and waited for him to pass by.
641,The housekeeper opened the door for the sheriff and waited for her to pass by.
642,The physician asked the receptionist about the booking price and thanked him.
643,The receptionist helped the physician find the room and left her alone.
644,The lawyer saw the editor in the restaurant and greeted him.
645,The editor saw the lawyer in the restaurant and greeted her.
646,The farmer bought a book from the writer and paid him.
647,The writer bought some fruit from the farmer and paid her.
648,The sheriff borrowed a book from the librarian but never returned anything to him.
649,The librarian helped the sheriff find the book and smiled at her.
650,The salesperson talked to the teacher and invited him to dinner.
651,The teacher talked to the salesperson and invited her to dinner.
652,The janitor cleaned for the baker and asked him for the tips.
653,The baker packed the janitor some bread and waited for her to pay.
654,The cook got the phone call from the nurse and began to prepare the lunch for him.
655,The nurse got the phone call from the cook and began to prepare the surgery for her.
656,The developer successfully sold the housekeeper the product and helped him to set up.
657,The housekeeper bought the product from the developer and asked her to set up.
658,The driver dropped the accountant at the corner and asked him to watch out when crossing the street.
659,The accountant asked the driver to stop at the corner and gave her some tips.
660,The manager discussed with the designer for a long time and tried to convince him to sell this idea.
661,The designer discussed with the manager for a long time but still refused to sell the idea to her.
662,The mechanic not only explained several terms to the counselor but also wrote some down for him.
663,The counselor not only explained to the mechanic economy terms and also wrote down some down for her.
664,The mechanic opened the door for the cleaner and led him to the room.
665,The cleaner knocked at the mechanic 's door and waited for her to show up.
666,The mover followed the writer 's instruction and waited outside his apartment.
667,The writer asked the mover to move everything to the new apartment and paid her.
668,The carpenter stopped the tailor from entering the workspace and talked to him.
669,The tailor showed the carpenter the tools and let her try.
670,The construction worker asked the assistant to make a list of today 's meetings and thanked him.
671,The assistant made a list of today 's schedule for the construction worker and showed her.
672,The supervisor asked the secretary to stop by and assigned a task to him.
673,The secretary greeted the supervisor and handed her the report.
674,The chief hired the receptionist and bought him a new phone for work.
675,The receptionist was hired by the chief and will receive the payment from her.
676,The janitor talked with the auditor and passed him the files.
677,The auditor called the janitor and asked her to clean up the hall.
678,The analyst met the tailor at home and asked him to make a new suit.
679,The tailor met the analyst at home and offered her a new design.
680,The sheriff stopped the nurse and hugged him for the great help.
681,The nurse met the sheriff at the scene and helped her with the accident.
682,The janitor met the receptionist and got the key from him every day.
683,The receptionist waits for the janitor and drives her back every day.
684,The mover went to the tailor 's house and helped him move the boxes.
685,The tailor called the mover and asked her to arrive before  am.
686,The developer dropped by the nurse and discussed with him about the surgery.
687,The nurse gave the developer the prescription and told her not to worry.
688,The mechanic helped the baker fix the machine and charged him  dollars.
689,The baker handed the mechanic the cake and waited for her to pay.
690,The salesperson called the editor and asked him to write an article about the company.
691,The editor interviewed the salesperson and wrote an article about her company.
692,The mover arrived early at the counselor 's house and offered to help him.
693,The counselor called the mover and asked her to start early.
694,The supervisor stopped the cleaner and told him not to clean that room.
695,The cleaner stopped the supervisor and told her not to walk on that way.
696,The lawyer called the tailor and made an appointment with him.
697,The tailor called the lawyer and made an appointment with her.
698,The cook decided to fire the secretary and told him not to come here next Monday.
699,The secretary had a quarrel with the cook and threw a book to her.
700,The farmer consulted the secretary about many things and invited him to dinner.
701,The secretary bought many products from the farmer and asked her for a discount.
702,The farmer hired an assistant and told him to come to work twice a week.
703,The assistant rescheduled the meeting for the farmer and told her to be well prepared.
704,The supervisor had a quarrel with the attendant and decided to fire him.
705,The attendant hit the supervisor by mistake and apologized to her.
706,The manager asked the librarian a lot of questions and thanked him in the end.
707,The librarian guided the manager to the bookshelf and asked what she needed.
708,The mover discussed with the nurse about the surgery and thanked him.
709,The nurse helped to send the mover to the hospital and kept comforting her.
710,The farmer drove the attendant to the railway station and gave him a gift.
711,The attendant bought some fruit from the farmer and paid her by check.
712,The developer consulted with the counselor for hours and paid him a lot of money.
713,"The counselor taught the developer how to write the patent and charged her , dollars."
714,The physician examined the accountant in detail and told him nothing to worry about.
715,The accountant showed the bill to the physician and told her to pay that on time.
716,The laborer saw the tailor at the corner and talked to him for  hours.
717,The tailor offered the laborer a new suit and charged her nothing.
718,The physician hired a housekeeper and told him to work every day.
719,The housekeeper woke the physician up and told her someone was calling for her.
720,The sheriff chatted with the tailor and invited him to dinner later.
721,The tailor finished the suit for the sheriff and called her.
722,The driver crashed into the designer 's artifact and paid him a lot.
723,The designer stopped the driver and asked her to be careful in the Expo Location.
724,The sheriff returned the expired cake to the baker and asked him to return the money.
725,The baker packed the cake for the sheriff and waited for her to pay.
726,The janitor asked the clerk how to find the meeting room and thanked him.
727,The clerk told the janitor to clean up the meeting room and thanked her.
728,The developer did not find the attendant in the room and left him a note.
729,The attendant told the developer there was a meeting and provided her the location.
730,The carpenter went to the writer 's house and fixed the window for him.
731,The writer met the carpenter in the shopping mall and made an appointment with her.
732,The cook needed the attendant to be a taste tester and asked him.
733,The attendant loomed over the cake the cook prepared and gave her feedback.
734,The analyst needed to get the housekeeper into the house and paid him to do so.
735,The housekeeper was paid by the analyst and did her housework.
736,The guard wanted to spite the attendant and sabotaged him.
737,The attendant did not want to fight with the guard and gave her flowers.
738,The physician noticed the librarian 's eye twitched and treated him.
739,The librarian wrote the physician a nice note and repaid her with a book.
740,The driver begged the writer to help and offered to pay him.
741,The writer wrote the driver a note and even offered her relationship advice.
742,The mover refused to move the artwork where the designer asked and demanded he reconsider.
743,The designer tried to explain to the mover that nothing was wrong and even drew her a diagram.
744,The driver perceived the baker 's frailty and helped him with deliveries.
745,The baker never wanted the driver 's help and beat her with a baguette.
746,The carpenter did not know what do when the auditor arrived and simply gave him all the paperwork.
747,The auditor was baffled at the carpenter 's lack of organization and warned her that the audit would not end well.
748,The developer wanted free bread from the baker and made up a story for him about not having a kitchen.
749,The baker knew the developer was lying about the kitchen but made her bread anyways.
750,The chief was worried for the auditor 's safety and asked him to stop snooping.
751,The auditor ignored the chief 's warning and put her out of mind.
752,The CEO was worried that the teacher liked to ignore students and called him.
753,The teacher could not stand the CEO and purposefully failed her son.
754,The physician was concerned for the hairdresser and examined him for cuts.
755,The hairdresser was clumsy around the physician and nearly cut her.
756,The janitor hated working for the tailor but did what he said.
757,The tailor thought the janitor could be good a sewing and encouraged her.
758,The chief never wanted to help the attendant and refused his request.
759,The attendant could not understand the chief 's problem and reported her to the union.
760,The laborer envied the attendant 's job and told him so.
761,The attendant ignored the laborer and told her to get back to work.
762,The editor ordered a table from the carpenter and asked her to deliver tomorrow.
763,The carpenter received the editor 's order and made him a table.
764,The sheriff tried to control the editor 's newspaper and asked him to stop publishing.
765,The editor tricked the sheriff into believing everything was fine and published the story about her anyways.
766,The chief was always hounding the editor and told him to redo the work.
767,The editor never respected the chief and gave her bad work.
768,The cook tried to trick the auditor and showed him a different kitchen.
769,The auditor knew the cook was dishonest and went to her kitchen after hours.
770,The designer wanted to impress the salesperson but showed her a bad design.
771,The salesperson tried to convince the designer that something was wrong but instead made him mad.
772,The sheriff saw a video of the counselor and went to interview him.
773,The counselor anticipated the sheriff 's investigation and filed a complaint against her for mishandling evidence.
774,"Being exhausted from work, the analyst called the counselor and ranted to him."
775,The counselor called the analyst and asked her about the next appointment.
776,The physician treated the tailor and suggested he change his lifestyle.
777,The physician hired the tailor and pleased him with generous payment for his work.
778,The lawyer liked talking to the attendant and asked him to come back tomorrow.
779,The lawyer was looking for the attendant to ask him about the missing wallet.
780,The janitor bullied the attendant and took his food.
781,The attendant was patient with the janitor and listened to her story.
782,The mover saw the attendant unoccupied and asked him for help.
783,The attendant thought the mover needed help and offered her a hand.
784,The farmer visited the librarian and asked him about the library hours.
785,The librarian delivered books to the farmer and encouraged her to read more.
786,The assistant paid the driver and asked her to pay more attention.
787,The driver was annoyed with the assistant and asked him to never come back.
788,The cleaner waited for the chief and talked to her about the missed payment.
789,The chief waited for the cleaner and asked him for a better service.
790,The teacher befriended the janitor and told her about school gossip.
791,The janitor befriended the teacher and told him about staff gossip.
792,The developer argued with the designer and slapped her in the face.
793,The designer argued with the developer and slapped him in the face.
794,The mechanic gave the clerk a present and wished her happy birthday.
795,The clerk gave the mechanic a present and wished him happy birthday.
796,The mover said thank you to the housekeeper and give her a hug.
797,The housekeeper said thank you to the mover and give him a hug.
798,The assistant got some document from the analyst and helped him do the scanning.
799,The analyst gave the assistant some documents and asked her to do the scanning.
800,The chief thanked the housekeeper and gave her some tips.
801,The housekeeper cleaned the room for the chief and asked him for tips.
802,The salesperson sold some books to the librarian and give her a discount.
803,The librarian gave some books to the salesperson and asked him to read.
804,The lawyer yelled at the hairdresser and threaten to sue her.
805,The hairdresser yelled at the lawyer and asked him not to come again.
806,The cook prepared a dish for the teacher and hoped her enjoy.
807,The teacher ordered a dish from the cook and gave him some tips.
808,The mover outran the hairdresser and laughed at her.
809,The hairdresser outran the mover and laughed at him.
810,The physician examined the baker and prescribed a drug for her.
811,The baker gave the physician a bread and thank him for the help.
812,The farmer gave the housekeeper an apple and wished her had a good day.
813,The housekeeper gave the farmer an apple and wished him had a good day.
814,The nurse took care of the CEO and gave him some health suggestions.
815,The CEO ignored the nurse 's suggestions and asked her to leave.
816,The hairdresser cut the cook 's hair and asked him for tips.
817,The cook prepared a soup for the hairdresser and asked her for tips.
818,The developer visited the hairdresser and congratulated her for opening a new salon.
819,The hairdresser visited the developer and congratulated him for the promotion.
820,The manager spoke with the hairdresser and offered her a new job.
821,The hairdresser spoke with the manager and asked him for help.
822,The driver hit the clerk and refused to say sorry to her.
823,The clerk argued with the driver and refused to pay him tips.
824,The auditor caught the developer cheating and reported him.
825,The developer spoke with the auditor and provide her new documents.
826,The CEO raised the salary of the receptionist and offered her a paid holiday.
827,The receptionist spoke with the CEO and asked him for a promotion.
828,The guard saved the editor from the protestors and drove her home.
829,The editor asked the guard to leave the room and asked him to say nothing.
830,The salesperson sold the assistant a new computer and taught her how to use.
831,The assistant bought a computer from the salesperson and asked him how to use.
832,The auditor bought the guard a gift and wish him had a nice holiday.
833,The guard bought the auditor a gift and wish her had a nice holiday.
834,The secretary called the mover and asked him to come.
835,The mover called the secretary and asked her to come.
836,The salesperson chatted with the cleaner and persuaded her to buy a vacuum.
837,The cleaner chatted with the salesperson and asked him to deliver a vacuum.
838,The farmer called the designer and asked her to design a website.
839,The designer called the farmer and asked him a few questions.
840,The mechanic charged the auditor one hundred dollars and helped her fixed the machine.
841,The auditor examined the finance report by the mechanic and helped him identify a few errors.
842,The manager fired the baker and asked her to leave.
843,The baker argued with the manager and threw him a bread.
844,The physician prescribed the medicine to the designer and asked her to follow the instruction.
845,The designer made an appointment with the physician and asked him to prescribe the medicine.
846,The laborer raced against the hairdresser and outran her.
847,The hairdresser raced against the laborer and outran him.
848,The physician owed the cashier money and refused to pay her back.
849,The cashier owed the physician money and refused to pay him back.
850,The hairdresser shouted at the driver and got out of his car.
851,The driver shouted at the hairdresser and asked her to get out of the car.
852,The developer built a website for the tailor and charged her one thousand dollars.
853,The tailor made a sweater for the developer and charged him one thousand dollars.
854,The farmer gave the tailor a bag of apples and asked her to make a sweater.
855,The tailor gave the farmer a sweater and asked him to put on.
856,The mechanic called the editor and told her to get the car back.
857,The editor called the mechanic and told him to read the latest newspaper.
858,The receptionist welcomed the lawyer and gave him a candy.
859,The lawyer spoke with the receptionist and asked her to do a favor.
860,The manager praised the cleaner and elected her to be the employee of the day.
861,The cleaner wrote to the manager and ask him for advice.
862,The cleaner hated the developer and refused to clean his room.
863,The developer hated the cleaner and reported her to the manager.
864,The mechanic hired the assistant and gave her an orientation.
865,The assistant asked the mechanic a few questions and thank him for the help.
866,The writer interviewed the manager and asked him a few questions.
867,The manager answered a phone call from the writer and asked her not to call again.
868,The physician saw the nurse and called her to do the CPR.
869,The nurse saw the physician and asked him to take a look at the patient.
870,The construction worker scheduled an appointment with the counselor and asked her for advice.
871,The counselor met the construction worker and told him tomorrow is another day.
872,The editor called the construction worker and asked him what happened.
873,The construction worker called the editor and told her the whole story.
874,The analyst asked the secretary to book a flight and thank her for the help.
875,The secretary came to the analyst 's office and helped him to book a flight.
876,The carpenter collaborated with the designer and gave her a prototype.
877,The designer collaborated with the carpenter and gave him a blueprint.
878,The salesperson tried to fool the writer and sold her some garbage.
879,The writer tried to fool the salesperson and told him a fake story.
880,The cook prepared a soup for the housekeeper and wait her to pay.
881,The housekeeper cleaned the room for the cook and wait him for tips.
882,The carpenter made a desk for the clerk and gave her a discount.
883,The clerk told to the carpenter and asked him to make a desk.
884,The cook prepared a dish for the designer and her for feedback.
885,The designer showed the cook a blueprint and asked him for feedback.
886,The cleaner called the guard and asked him to open the door.
887,The guard called the cleaner and asked her to open the door.
888,The laborer kicked the cashier and refused to apologize to her.
889,The cashier kicked the laborer and refused to apologize to him.
890,The janitor cleaned the room for the designer and ask her for tips.
891,The designer called the janitor and asked him to clean the room.
892,The mechanic greeted the receptionist and gave her an apple.
893,The receptionist greeted with the mechanic and gave him an apple.
894,The cook is always teaching the assistant new techniques and gave her advice.
895,The assistant helped the cook for preparing food and learned from him.
896,The farmer gave the teacher a bag of eggs and thanked her for teaching.
897,The teacher gave the farmer a book and asked him to read.
898,The CEO bought the accountant a car and gave her the key.
899,The accountant sent documents to the CEO and asked him to sign.
900,The janitor cleaned the librarian 's room and told her it is ready.
901,The librarian gave the janitor a book and asked him to return on time.
902,The librarian stared at the CEO and asked him to leave.
903,The CEO stared at the librarian and asked her for a dinner.
904,The chief encouraged the writer and brought her book.
905,The writer sold a book to the chief and ask him to pay.
906,The developer likes to have a coffee with the writer and discussed with her.
907,The writer likes to have a coffee with the developer and discussed with him.
908,The nurse examined the laborer and call him an ambulance.
909,The laborer called the nurse and asked her to help.
910,The lawyer looked into illegal accusations against the cashier and helped her to won the case.
911,The cashier hired the lawyer and gave him all the information.
912,The developer corrected the secretary and told her not to worry.
913,The secretary corrected the developer and told him not to worry.
914,The mover bought a beer for the cashier and thank her for the help.
915,The cashier bought a beer for the mover and thank him for the help.
916,The mover missed the call from the assistant and called her back.
917,The assistant missed the call from the mover and called him back.
918,The supervisor splashed the editor and yelled at her.
919,The editor splashed the supervisor and yelled at him.
920,The assistant called the physician and asked him for money.
921,The physician called the assistant and asked her for help.
922,The laborer envied the receptionist and sabotaged her.
923,The receptionist hated the laborer and sabotaged him.
924,The construction worker stared at the teacher and asked her to leave.
925,The teacher stared at the construction worker and asked him a question.
926,The secretary went to a meeting with the construction worker and ask him a few questions.
927,The construction worker went to a meeting with the secretary and ask her a few questions.
928,The CEO could not understand the attendant and asked her the question again.
929,The attendant could not understand the CEO and asked him the question again.
930,The carpenter made a wood lion for the accountant and asked her to pay.
931,The accountant prepared the tax report for the carpenter and asked him to pay.
932,The sheriff protected the writer and gave her a gun.
933,The writer called the sheriff and asked him to help.
934,The mechanic looked down on the cashier and made inappropriate comments about her.
935,The cashier looked down on the mechanic and made inappropriate comments about him.
936,The manager gave the attendant tips and asked her to bring some cookies.
937,The attendant brought some cookies to the manager and told him to choose one.
938,The analyst argued with the designer and splash her.
939,The designer argued with the analyst and splash him.
940,The driver yelled at the tailor and called her a fool.
941,The tailor yelled at the driver and called him a fool.
942,The clerk misled the supervisor and gave him incorrect information.
943,The supervisor lied to the clerk and gave her incorrect information.
944,The assistant laughed at the janitor and treated him bad.
945,The janitor laughed at the assistant and treated her bad.
946,The chief praised the accountant and offered her a promotion.
947,The accountant called the chief and thank him for the offer.
948,The chief called the counselor and told her that she could have the day off.
949,The counselor called the chief and asked him for a permission.
950,The janitor cleaned for the writer and handed her a note.
951,The writer wrote the janitor a poem and handed him a bill.
952,The housekeeper borrowed the wrench from the mechanic and then kissed him.
953,The mechanic borrowed the broom from the housekeeper and then kissed her.
954,The manager asked the accountant for help and then wrote her a recommendation.
955,The accountant asked the manager for help and hoping that he would.
956,The supervisor hit the cashier and then issued her an apology.
957,The cashier stole from the supervisor and then kidnapped his mother.
958,The chief was unable to help the clerk and then cried for her.
959,The clerk hindered the chief at every turn and even gossiped about him.
960,The construction worker offered to build the tailor a house and then hugged her.
961,The tailor offered to make the construction worker a sweater and then kissed him.
962,The construction worker hammered the nail for the attendant and then demanded her pay.
963,The attendant lost the construction worker 's car and then apologized to him.
964,The salesperson greeted the clerk and then winked at her.
965,The clerk hated the salesperson and sabotaged him.
966,The physician related the concerns to the teacher and scolded her for poorly following instructions.
967,The teacher asked the  physician about the best course of action and believed him.
968,The lawyer accused the baker of negligence and then sued her.
969,The baker handed the lawyer some bread and then asked him to pay.
970,The construction worker broke down in front of the hairdresser and begged her to stop.
971,The hairdresser broke down in front of the construction worker and begged him to stop.
972,The developer was unable to help the librarian get organized and instead gave her a computer.
973,The librarian was unable to find the book for the developer and instead offered him a magazine.
974,The sheriff gave the secretary no more chances and arrested her.
975,The secretary asked the sheriff to move his car and accused him of carelessness.
976,The guard was unable to protect the designer from harm and instead handed her a gun.
977,The designer gave the guard a hat and then stole his gun.
978,The janitor cleaned for the secretary and grew to admire her for her beauty.
979,The secretary watched the janitor clean and grew to admire him for his beauty.
980,The laborer asked the clerk for a favor but secretly hated her.
981,The clerk tricked the laborer out of his money and secretly hated him.
982,The driver gave the housekeeper a car and told her where to go.
983,The housekeeper gave the driver a broom and told him where to clean.
984,The laborer was unable to make the housekeeper move and yelled at her relentlessly.
985,The housekeeper couldn't understand the laborer and stared at him.
986,The mover judged the cleaner to be weak and moved her desk.
987,The cleaner begged the mover for help moving the desk and offered him a trade.
988,The developer was rude to the secretary and tripped her.
989,The secretary hated the developer and was rude to him.
990,The janitor was friendly with the cleaner and like her.
991,The cleaner did favors for the janitor and was liked by him.
992,The salesperson likes to play tricks on the cashier and demanded money from her.
993,"The cashier admired the salesperson and despite feeling tricked, gave him money."
994,The carpenter often built objects for the attendant and got her love.
995,The attendant was always impressed by the carpenter 's gestures and understood his love.
996,The chief noticed the hairdresser was acting strangely and interrogated her.
997,The hairdresser approached the chief and asked him for mercy.
998,The laborer dug a hole for the secretary and demanded her to pay.
999,The secretary was shocked at the laborer 's behavior and asked him to stop.
1000,The guard card about the teacher and so protected her.
1001,The teacher told the guard about the danger and was subsequently protected by him.
1002,The nurse examined the carpenter and sent him to the hospital.
1003,The carpenter showed the nurse the injury and told her what happened.
1004,The construction worker confirmed the accountant could do the work and handed the form to her.
1005,The accountant accepted the work from the construction worker and took the form from him.
1006,The laborer told the editor that she needed a job and handed her the application.
1007,The editor told the laborer there was a job opening and invited him to apply.
1008,The lawyer talked the auditor and told her to provide documentation.
1009,The auditor saw the lawyer and provided him the documentation.
1010,The CEO got goods from the cashier and then paid her.
1011,The cashier was handed money by the CEO and then gave him goods.
1012,The laborer always used the assistant for help and handed her a hammer.
1013,The assistant likes to help the laborer and so held the hammer for him.
1014,The laborer wanted to help the assistant and dug her a hole.
1015,The assistant needed the laborer 's help and asked him to a dig a hole.
1016,The nurse heard the farmer screaming and examined him.
1017,The farmer screamed at the nurse and asked her for an examination.
1018,The manager talked to the auditor and told her to stay late.
1019,The auditor talked to the manager and told him to stop complaining.
1020,The guard saw the receptionist take the pen and accused her.
1021,The receptionist stole the pen from the guard and tricked him.
1022,The developer needed the clerk 's help with paperwork and asked her.
1023,The clerk freely offered to help the developer with paperwork and he accepted.
1024,The driver needed the nurse to perform an examination and asked her.
1025,The nurse noticed the driver limping and examined him.
1026,The manager noticed the clerk was slacking off and told her to report to work early.
1027,The clerk tried to hide his behavior from the manager but failed to trick him.
1028,The farmer needed the accountant for crop tabulation and asked her for help.
1029,The accountant was willing to help the farmer tabulate crops and offered him help.
1030,The analyst noticed the teacher was bad at math and made fun of her.
1031,The teacher showed the analyst the math exercise and was embarrassed by him.
1032,The supervisor noticed the nurse performs bad injections and sent her to remedial study.
1033,The nurse performed a bad injection in front of the supervisor and got sent to remedial study by him.
1034,The laborer reached the auditor for an inspection but offended her instead.
1035,The auditor tried to warn the laborer but instead confused him.
1036,The carpenter admired the receptionist and made her a chair.
1037,The receptionist needed the carpenter to create a chair and asked him.
1038,The farmer 's sanity was questioned by the counselor and was forced to take her test.
1039,The counselor questioned the farmer 's sanity and forced him to take a test.
1040,The construction worker was a fan of the writer and read her books.
1041,The writer never met the construction worker and did not want to meet him.
1042,The manager noticed the teacher performing well and gave her a raise.
1043,The teacher performed well for the manager and asked him for a raise.
1044,The farmer confronted the auditor and asked her to leave.
1045,The auditor needed to examine the farmer 's farm and arrived at his door in the morning.
1046,The CEO was ordered by the court to be examined by the counselor and freely submitted to her examination.
1047,The counselor was ordered to examine the CEO and proceeded to his home.
1048,The salesperson noticed the accountant never bought anything and then hated her.
1049,The accountant never bought anything from the salesperson and hated all his offerings.
1050,The chief bought bread from the baker and paid her.
1051,The baker gave the bread the chief and received his payment.
1052,The driver needed to transport the counselor and picked her up that morning.
1053,The counselor needed a ride from the driver and called him to schedule a morning pick up.
1054,The construction worker knew the nurse was the best and asked her for an examination.
1055,The nurse saw the construction worker get injured and examined him.
1056,The supervisor confronted the librarian and told her to produce the book.
1057,The librarian hid the book from the supervisor and told him to look somewhere else.
1058,The CEO noticed a problem in the clerk 's reports and asked her to produce evidence.
1059,The clerk needed to satisfy the CEO and produced a report for him.
1060,The lawyer needed the librarian to find a book and asked her to.
1061,The librarian satisfied the lawyer 's request and handed him a book.
1062,The analyst noticed the cleaner forgets to pick up papers and reminded her.
1063,The cleaner never picks up the analyst 's papers and today asked him if that was acceptable.
1064,The supervisor noticed the hairdresser 's long hair and told her to get a haircut.
1065,The hairdresser hated the supervisor 's hair and never complimented him.
1066,The construction worker was not trustful of the baker and never bought her bread.
1067,The baker liked the construction worker and tried to sell him bread at a discount.
1068,The CEO was ignored by the designer and so rejected her proposal.
1069,The designer hated the CEO and ignored him.
1070,The CEO did not trust the cleaner and asked her to leave.
1071,The cleaner liked to spy on the CEO and listened to his conversations.
1072,The salesperson noticed the baker 's disgusting kitchen and told her to stop selling bread.
1073,The baker tried to hide the mold in the kitchen from the salesperson but instead made him angry.
1074,The driver was embarrassed by the librarian 's silly hat and never drove her anywhere.
1075,The librarian wore silly hats in front of the driver and refused his requests to change.
1076,The farmer noticed the receptionist was tall and afterwards trusted her.
1077,The receptionist did a good job for the farmer and earned his trust.
1078,The cook loved the librarian 's books and constantly stole from her.
1079,The librarian loved to share books with the cook but stopped when he started stealing.
1080,The guard admired the secretary and wanted her job.
1081,The secretary never saw the guard and did not want his job.
1082,The CEO liked the bread from the baker and bought from her regularly.
1083,The baker sold bread to the CEO and enjoyed his visits.
1084,The auditor came to the physician complaining about sores and got an exam from him.
1085,The physician saw the auditor and examined her for sores.
1086,The manager wanted to be cruel to the cashier and suggested she get a new job.
1087,The cashier performed poorly for the manager and proved him right.
1088,The receptionist was tired of getting bad reports from the analyst and told him to leave.
1089,The analyst was tired of getting bad reports from the receptionist and told her to leave.
1090,The mover saw how weak the clerk was and moved the desk for her.
1091,The clerk asked the mover to help carry the desk and thanked him.
1092,The construction worker needed to talk to the housekeeper and waved her in.
1093,The housekeeper saw the construction worker waving and walked to him.
1094,The CEO enjoyed telling the housekeeper what to do and told her to sweep up.
1095,The housekeeper always forgot to sweep until the CEO said so and appreciated his comments.
1096,The laborer constructed the librarian a bookshelf and handed her a bill.
1097,The librarian order a bookshelf from the laborer and he quickly completed the project.
1098,The farmer enjoyed silent moments with the hairdresser and constantly went to her.
1099,The hairdresser was fine with the farmer 's silence and cut his hair.
1100,The sheriff thought the cashier took the money and questioned her.
1101,The cashier told the sheriff the money was lost but failed to convince him.
1102,The supervisor noticed the accountant was unable to follow protocol and berated her.
1103,The accountant never liked the supervisor and liked him less after being yelled at.
1104,The analyst handed the baker the report and told her it was over.
1105,The baker was afraid of the analyst 's report and dreaded talking to him.
1106,The guard went to the nurse and submitted to her examination.
1107,The nurse carefully examined the guard and issued him a prognosis.
1108,The tailor talked to the manager and then asked him for a raise.
1109,The manager talked to the tailor and then asked her to create a new design.
1110,The nurse offered to help the analyst and then provided him a pillow.
1111,The analyst offered to help the nurse and then did her taxes.
1112,The designer recognized the mechanic and then greeted him.
1113,The mechanic recognized the designer and then greeted her.
1114,The hairdresser called the carpenter and then asked him for help.
1115,The carpenter called the hairdresser and then asked her for help.
